Date,State,Crop,Modal_Price,Log_Returns,Squared_Log_Returns,Conditional_Volatility,SARIMAX_pred,LSTM_pred
2017-02-01,Madhya Pradesh,Soybean,2695.214880944444,-0.0252281209885243,0.0006364580886116,0.046063339292842,,
2017-03-01,Madhya Pradesh,Soybean,2703.083333333333,0.0029151623896455,8.498171758003716e-06,0.0479866714637176,,
2017-04-01,Madhya Pradesh,Soybean,2744.0138888888887,0.01502867463814,0.000225861061379,0.0443594957173538,,
2017-05-01,Madhya Pradesh,Soybean,2593.7185185,-0.0563292039218286,0.0031729792144669,0.0449636186829833,,
2017-06-01,Madhya Pradesh,Soybean,2668.722222222222,0.0285072219282005,0.0008126617020636,0.0536570737164183,,
2017-07-01,Madhya Pradesh,Soybean,2756.9694445,0.0325322596946726,0.0010583479208416,0.0426405150510848,,
2017-08-01,Madhya Pradesh,Soybean,2850.093430333333,0.0332197272160197,0.0011035502763067,0.0492032551331711,,
2017-09-01,Madhya Pradesh,Soybean,2671.9814814444444,-0.0645314512630781,0.004164308202119,0.0586713421470854,,
2017-10-01,Madhya Pradesh,Soybean,2400.592592611111,-0.1071047045895241,0.0114714177452092,0.0652369192256359,,
2017-11-01,Madhya Pradesh,Soybean,2639.377116388889,0.0948273280943201,0.0089922221535078,0.0500580155712062,,
2017-12-01,Madhya Pradesh,Soybean,2746.712963,0.0398619620143438,0.0015889760156329,0.0392323802510951,,
2018-01-01,Madhya Pradesh,Soybean,3419.552777777777,0.219104865219772,0.0480069419629744,0.0717595972634623,,
2018-02-01,Madhya Pradesh,Soybean,3358.2502645,-0.018089692069914,0.0003272369591843,0.0688066120510366,,
2018-03-01,Madhya Pradesh,Soybean,3336.949074111111,-0.0063631450490433,4.0489614915164765e-05,0.1558290736000668,,
2018-04-01,Madhya Pradesh,Soybean,3320.9870370555554,-0.0047948996118449,2.299106228767117e-05,0.0577976659358581,,
2018-05-01,Madhya Pradesh,Soybean,3302.7638888888887,-0.0055023790440351,3.027617514423735e-05,0.059121142688112,,
2018-06-01,Madhya Pradesh,Soybean,3234.7074073333333,-0.0208211821106285,0.0004335216244839,0.0600095716416319,,
2018-07-01,Madhya Pradesh,Soybean,3247.2022707222222,0.0038553079218388,1.486339917219345e-05,0.060854412861198,,
2018-08-01,Madhya Pradesh,Soybean,2979.065806888889,-0.0861840220799097,0.0074276856618703,0.05777328955589,,
2018-09-01,Madhya Pradesh,Soybean,2897.1296296666665,-0.0278892997882822,0.0007778130426806,0.0624674098433191,,
2018-10-01,Madhya Pradesh,Soybean,3041.1093674444446,0.0485019083908699,0.0023524351175563,0.049270339022306,,
2018-11-01,Madhya Pradesh,Soybean,3157.0356241111112,0.0374111213266807,0.0013995919989196,0.0445264969550504,,
2018-12-01,Madhya Pradesh,Soybean,3157.177248666667,4.485897401096395e-05,2.0123275493163392e-09,0.0633212493611729,,
2019-01-01,Madhya Pradesh,Soybean,3625.962698444445,0.1384414723814178,0.0191660412751348,0.0650350624711469,,
2019-02-01,Madhya Pradesh,Soybean,3449.2679012222225,-0.0499578190524765,0.0024957836844799,0.0615046849586328,,
2019-03-01,Madhya Pradesh,Soybean,3494.990740722222,0.0131687204087835,0.0001734151972047,0.1321377337180843,,
2019-04-01,Madhya Pradesh,Soybean,3463.8425925555557,-0.0089521776700713,8.014148503652488e-05,0.0595067169339495,,
2019-05-01,Madhya Pradesh,Soybean,3552.6117724444443,0.0253044948131648,0.0006403174577494,0.0604174407019043,,
2019-06-01,Madhya Pradesh,Soybean,3447.5159258888893,-0.0300290933108904,0.0009017464450741,0.0606620796955748,,
2019-07-01,Madhya Pradesh,Soybean,3365.5761905000004,-0.0240547713227723,0.0005786320233908,0.0707517252446639,,
2019-08-01,Madhya Pradesh,Soybean,3521.952513166666,0.0454163481671621,0.0020626446808408,0.0613192351419545,,
2019-09-01,Madhya Pradesh,Soybean,3759.2680555555553,0.0652087453100378,0.0042521804649093,0.0588706413651849,,
2019-10-01,Madhya Pradesh,Soybean,3417.181138777778,-0.0954082895923029,0.0091027417229287,0.0784354215632427,,
2019-11-01,Madhya Pradesh,Soybean,3617.659788277778,0.0570113666770453,0.0032502959303845,0.0990026164719298,,
2019-12-01,Madhya Pradesh,Soybean,4088.652861944444,0.1223881927305985,0.0149788697198621,0.0601190045416147,,
2020-01-01,Madhya Pradesh,Soybean,3798.251543222223,-0.0736747015517167,0.0054279616487345,0.0769324312364037,,
2020-02-01,Madhya Pradesh,Soybean,3478.315630444444,-0.0879926782662998,0.0077427114284765,0.1368470900266893,,
2020-03-01,Madhya Pradesh,Soybean,3361.412037055556,-0.0341870275547186,0.001168752853027,0.0638423356640835,,
2020-04-01,Madhya Pradesh,Soybean,3481.814814833333,0.0351925215497548,0.0012385135730299,0.0562945427300227,,
2020-05-01,Madhya Pradesh,Soybean,3610.371296333333,0.036256962857152,0.0013145673556249,0.0516744240568088,0.0874393696105617,0.0459279455244541
2020-06-01,Madhya Pradesh,Soybean,3442.634656111112,-0.0475735525789229,0.0022632429049795,0.0639571166526239,0.084258273056133,0.0435083098709583
2020-07-01,Madhya Pradesh,Soybean,3485.2981481666666,0.0123165257475186,0.0001516968064892,0.0723412913317056,0.0763963115806787,0.0443075224757194
2020-08-01,Madhya Pradesh,Soybean,3692.3027777777775,0.0576967300325872,0.0033289126564532,0.0543367578953949,0.0757367446865935,0.0490889698266983
2020-09-01,Madhya Pradesh,Soybean,3372.7185185,-0.0905312212082911,0.0081959020134645,0.0585248910486691,0.0765645397926613,0.0510029047727584
2020-10-01,Madhya Pradesh,Soybean,3772.467592611111,0.1120102199765078,0.0125462893791856,0.0890634646763642,0.0745326685222336,0.0527843721210956
2020-11-01,Madhya Pradesh,Soybean,3955.001851833333,0.0472517482502166,0.0022327277127018,0.0539552027216252,0.0663053499615392,0.0507582500576972
2020-12-01,Madhya Pradesh,Soybean,4121.586199277777,0.0412570196473396,0.0017021416701809,0.0795982164842944,0.0612931284355941,0.0480690561234951
2021-01-01,Madhya Pradesh,Soybean,4213.802777777778,0.0221274235276407,0.0004896228719715,0.0752136060344392,0.0654439714604437,0.0467854514718055
2021-02-01,Madhya Pradesh,Soybean,4740.661111111111,0.1178110882788558,0.0138794525214483,0.0727772660246294,0.0742443595692002,0.04696986079216
2021-03-01,Madhya Pradesh,Soybean,5069.379629611111,0.0670418481937034,0.0044946094092275,0.0776482739291907,0.0844797542935781,0.0480606481432914
